phi shrinkage symmetric_weight
0.000000000000 1.000000000000 0.500000000000
0.009817477042 1.000000000000 0.500000000000
0.019634954085 1.000000000000 0.500000000000
0.029452431127 1.000000000000 0.500000000000
0.039269908170 1.000000000000 0.500000000000
0.049087385212 1.000000000000 0.500000000000
0.058904862255 1.000000000000 0.500000000000
0.068722339297 1.000000000000 0.500000000000
0.078539816340 1.000000000000 0.500000000000
0.088357293382 1.000000000000 0.500000000000
0.098174770425 1.000000000000 0.500000000000
0.107992247467 1.000000000000 0.500000000000
0.117809724510 1.000000000000 0.500000000000
0.127627201552 1.000000000000 0.500000000000
0.137444678595 1.000000000000 0.500000000000
0.147262155637 1.000000000000 0.500000000000
0.157079632679 1.000000000000 0.500000000000
0.166897109722 1.000000000000 0.500000000000
0.176714586764 1.000000000000 0.500000000000
0.186532063807 1.000000000000 0.500000000000
0.196349540849 1.000000000000 0.500000000000
0.206167017892 1.000000000000 0.500000000000
0.215984494934 1.000000000000 0.500000000000
0.225801971977 1.000000000000 0.500000000000
0.235619449019 1.000000000000 0.500000000000
0.245436926062 1.000000000000 0.500000000000
0.255254403104 1.000000000000 0.500000000000
0.265071880147 1.000000000000 0.500000000000
0.274889357189 1.000000000000 0.500000000000
0.284706834232 1.000000000000 0.500000000000
0.294524311274 1.000000000000 0.500000000000
0.304341788317 1.000000000000 0.500000000000
0.314159265359 1.000000000000 0.500000000000
0.323976742401 1.000000000000 0.500000000000
0.333794219444 1.000000000000 0.500000000000
0.343611696486 0.997842850815 0.500534739073
0.353429173529 0.992029577317 0.501934026456
0.363246650571 0.985925946470 0.503345934684
0.373064127614 0.979535739583 0.504770807118
0.382881604656 0.972862839947 0.506209004315
0.392699081699 0.965911314140 0.507660884571
0.402516558741 0.958685354654 0.509126817644
0.412334035784 0.951189278985 0.510607184727
0.422151512826 0.943427592118 0.512102364225
0.431968989869 0.935404958575 0.513612738444
0.441786466911 0.927126035690 0.515138730478
0.451603943954 0.918595878039 0.516680714272
0.461421420996 0.909819473050 0.518239117686
0.471238898038 0.900802037882 0.519814356599
0.481056375081 0.891548945102 0.521406851419
0.490873852123 0.882065658532 0.523017040722
0.500691329166 0.872357836559 0.524645358818
0.510508806208 0.862431246817 0.526292253897
0.520326283251 0.852291847316 0.527958170486
0.530143760293 0.841945673571 0.529643573138
0.539961237336 0.831398929777 0.531348926703
0.549778714378 0.820657978983 0.533074698082
0.559596191421 0.809729309358 0.534821362879
0.569413668463 0.798619580361 0.536589395149
0.579231145506 0.787335527575 0.538379286812
0.589048622548 0.775884150546 0.540191507421
0.598866099591 0.764272395987 0.542026570072
0.608683576633 0.752507550973 0.543884947691
0.618501053675 0.740596899556 0.545767144391
0.628318530718 0.728547967693 0.547673642616
0.638136007760 0.716368341751 0.549604940244
0.647953484803 0.704065819060 0.551561517167
0.657770961845 0.691648209068 0.553543876146
0.667588438888 0.679123640566 0.555552475154
0.677405915930 0.666500210522 0.557587800742
0.687223392973 0.653786248371 0.559650308915
0.697040870015 0.640990172700 0.561740453568
0.706858347058 0.628120556799 0.563858669454
0.716675824100 0.615186051473 0.566005386173
0.726493301143 0.602195492419 0.568181001001
0.736310778185 0.589157809854 0.570385895168
0.746128255228 0.576082050257 0.572620425002
0.755945732270 0.562977383426 0.574884915816
0.765763209313 0.549853058381 0.577179667184
0.775580686355 0.536718468263 0.579504932575
0.785398163397 0.523583104728 0.581860923895
0.795215640440 0.510456497327 0.584247819746
0.805033117482 0.497348290039 0.586665740526
0.814850594525 0.484268257805 0.589114736447
0.824668071567 0.471226087573 0.591594833543
0.834485548610 0.458231690473 0.594105948124
0.844303025652 0.445294914793 0.596647948688
0.854120502695 0.432425673819 0.599220614441
0.863937979737 0.419633807168 0.601823660945
0.873755456780 0.406929276487 0.604456678088
0.883572933822 0.394321955125 0.607119173450
0.893390410865 0.381821620039 0.609810563714
0.903207887907 0.369438101932 0.612530120883
0.913025364950 0.357181040392 0.615277026771
0.922842841992 0.345059948132 0.618050343252
0.932660319034 0.333084267439 0.620848982263
0.942477796077 0.321263254388 0.623671725248
0.952295273119 0.309605882751 0.626517239355
0.962112750162 0.298121004449 0.629384015946
0.971930227204 0.286817115866 0.632270428841
0.981747704247 0.275702453999 0.635174693097
0.991565181289 0.264784929623 0.638094874152
1.001382658332 0.254072071855 0.641028895486
1.011200135374 0.243570983942 0.643974544695
1.021017612417 0.233288412638 0.646929441861
1.030835089459 0.223230513306 0.649891114582
1.040652566502 0.213403042752 0.652856927487
1.050470043544 0.203811237429 0.655824121842
1.060287520587 0.194459695696 0.658789860248
1.070104997629 0.185352518694 0.661751177949
1.079922474671 0.176493190201 0.664705032906
1.089739951714 0.167884583494 0.667648312211
1.099557428756 0.159528929837 0.670577856333
1.109374905799 0.151427892270 0.673490443012
1.119192382841 0.143582476256 0.676382840157
1.129009859884 0.135993023079 0.679251829703
1.138827336926 0.128659396032 0.682094148213
1.148644813969 0.121580711644 0.684906628267
1.158462291011 0.114755585719 0.687686116991
1.168279768054 0.108182072728 0.690429529678
1.178097245096 0.101857733809 0.693133846811
1.187914722139 0.095779571132 0.695796175770
1.197732199181 0.089944187968 0.698413704518
1.207549676224 0.084347764839 0.700983742642
1.217367153266 0.078986109375 0.703503726790
1.227184630309 0.073854670765 0.705971243547
1.237002107351 0.068948642698 0.708384004488
1.246819584393 0.064262916786 0.710739898851
1.256637061436 0.059792273734 0.713036915658
1.266454538478 0.055531229120 0.715273252889
1.276272015521 0.051474242424 0.717447224192
1.286089492563 0.047615678944 0.719557299687
1.295906969606 0.043949865123 0.721602092556
1.305724446648 0.040471092495 0.723580373410
1.315541923691 0.037173697381 0.725491036952
1.325359400733 0.034052056905 0.727333116150
1.335176877776 0.031100667325 0.729105743491
1.344994354818 0.028314081491 0.730808198216
1.354811831861 0.025686993833 0.732439859539
1.364629308903 0.023214282835 0.734000182883
1.374446785946 0.020890943800 0.735488746706
1.384264262988 0.018712167823 0.736905202811
1.394081740030 0.016673372252 0.738249255471
1.403899217073 0.014770129640 0.739520708750
1.413716694115 0.012998283933 0.740719385716
1.423534171158 0.011353815235 0.741845219308
1.433351648200 0.009833025394 0.742898120432
1.443169125243 0.008432400918 0.743878069635
1.452986602285 0.007148629156 0.744785103008
1.462804079328 0.005978743566 0.745619203721
1.472621556370 0.004919901671 0.746380457110
1.482439033413 0.003969606632 0.747068886718
1.492256510455 0.003125507106 0.747684595447
1.502073987498 0.002385553968 0.748227647463
1.511891464540 0.001747931184 0.748698114752
1.521708941583 0.001211071675 0.749096062040
1.531526418625 0.000773643085 0.749421554281
1.541343895667 0.000434538365 0.749674661102
1.551161372710 0.000192934538 0.749855410625
1.560978849752 0.000048188386 0.749963865676
1.570796326795 0.000000000000 0.750000000000
