theta transverse longitudinal even_weight regime
0.000000000000 1.000000000000 1.000000000000 0.000000000000 weak
0.009817477042 0.999614518120 0.999229036241 0.000000000000 weak
0.019634954085 0.998458666867 0.996917333733 0.000000000000 weak
0.029452431127 0.996534228477 0.993068456955 0.000000000000 weak
0.039269908170 0.993844170298 0.987688340595 0.000000000000 weak
0.049087385212 0.990392640202 0.980785280403 0.000000000000 weak
0.058904862255 0.986184960199 0.972369920398 0.000000000000 weak
0.068722339297 0.981227618227 0.962455236454 0.000000000000 weak
0.078539816340 0.975528258148 0.951056516295 0.000000000000 weak
0.088357293382 0.969095667961 0.938191335922 0.000000000000 weak
0.098174770425 0.961939766256 0.923879532511 0.000000000000 weak
0.107992247467 0.954071586913 0.908143173825 0.000000000000 weak
0.117809724510 0.945503262094 0.891006524188 0.000000000000 weak
0.127627201552 0.936248003536 0.872496007073 0.000000000000 weak
0.137444678595 0.926320082177 0.852640164354 0.000000000000 weak
0.147262155637 0.915734806151 0.831469612303 0.000000000000 weak
0.157079632679 0.904508497187 0.809016994375 0.000000000000 weak
0.166897109722 0.892658465440 0.785316930881 0.000000000000 weak
0.176714586764 0.880202982800 0.760405965600 0.000000000000 weak
0.186532063807 0.867161254718 0.734322509436 0.000000000000 weak
0.196349540849 0.853553390593 0.707106781187 0.000000000000 weak
0.206167017892 0.839400372766 0.678800745533 0.000000000000 weak
0.215984494934 0.824724024165 0.649448048330 0.000000000000 weak
0.225801971977 0.809546974655 0.619093949310 0.000000000000 weak
0.235619449019 0.793892626146 0.587785252292 0.000000000000 weak
0.245436926062 0.777785116510 0.555570233020 0.000000000000 weak
0.255254403104 0.761249282358 0.522498564716 0.000000000000 weak
0.265071880147 0.751505671634 0.503011343269 0.010226253092 middle
0.274889357189 0.744970567714 0.489941135429 0.024199046429 middle
0.284706834232 0.738523620492 0.477047240984 0.037315487663 middle
0.294524311274 0.732160705786 0.464321411572 0.049649894802 middle
0.304341788317 0.725877958040 0.451755916080 0.061268080459 middle
0.314159265359 0.719671720546 0.439343441092 0.072228473608 middle
0.323976742401 0.713538557504 0.427077115008 0.082583125378 middle
0.333794219444 0.707475219127 0.414950438253 0.092378629460 middle
0.343611696486 0.701478636206 0.402957272412 0.101656719554 middle
0.353429173529 0.695545883479 0.391091766958 0.110455076523 middle
0.363246650571 0.689674191948 0.379348383896 0.118807622243 middle
0.373064127614 0.683860923192 0.367721846384 0.126745112723 middle
0.382881604656 0.678103563498 0.356207126996 0.134295419607 middle
0.392699081699 0.672399717097 0.344799434194 0.141483934862 middle
0.402516558741 0.666747088945 0.333494177890 0.148333799729 middle
0.412334035784 0.661143484877 0.322286969755 0.154866129038 middle
0.422151512826 0.655586803060 0.311173606120 0.161100329568 middle
0.431968989869 0.650075036730 0.300150073459 0.167054134792 middle
0.441786466911 0.644606227266 0.289212454532 0.172743882848 middle
0.451603943954 0.639178533602 0.278357067203 0.178184623461 middle
0.461421420996 0.633790149738 0.267580299476 0.183390211707 middle
0.471238898038 0.628439332123 0.256878664246 0.188373497884 middle
0.481056375081 0.623124426101 0.246248852203 0.193146326221 middle
0.490873852123 0.617843817174 0.235687634348 0.197719691693 middle
0.500691329166 0.612595946813 0.225191893626 0.202103795089 middle
0.510508806208 0.607379281789 0.214758563578 0.206308130579 middle
0.520326283251 0.602192386499 0.204384772998 0.210341507088 middle
0.530143760293 0.597033820331 0.194067640663 0.214212155258 middle
0.539961237336 0.591902212388 0.183804424775 0.217927731560 middle
0.549778714378 0.586796212462 0.173592424923 0.221495420174 middle
0.559596191421 0.581714524798 0.163429049596 0.224921873946 middle
0.569413668463 0.576655854853 0.153311709707 0.228213395627 middle
0.579231145506 0.571618985704 0.143237971409 0.231375834745 middle
0.589048622548 0.566602700404 0.133205400807 0.234414687522 middle
0.598866099591 0.561605814475 0.123211628951 0.237335123816 middle
0.608683576633 0.556627182456 0.113254364911 0.240141982150 middle
0.618501053675 0.551665644380 0.103331288760 0.242839838594 middle
0.628318530718 0.546720134721 0.093440269442 0.245432944264 middle
0.638136007760 0.541789526305 0.083579052611 0.247925377745 middle
0.647953484803 0.532689732223 0.073679917823 0.250000000000 strong
0.657770961845 0.496802197764 0.063751996464 0.250000000000 strong
0.667588438888 0.460440613726 0.054496737906 0.250000000000 strong
0.677405915930 0.423639021834 0.045928413087 0.250000000000 strong
0.687223392973 0.386432038199 0.038060233744 0.250000000000 strong
0.697040870015 0.348854808473 0.030904332039 0.250000000000 strong
0.706858347058 0.310942962228 0.024471741852 0.250000000000 strong
0.716675824100 0.272732566615 0.018772381773 0.250000000000 strong
0.726493301143 0.234260079386 0.013815039801 0.250000000000 strong
0.736310778185 0.195562301338 0.009607359798 0.250000000000 strong
0.746128255228 0.156676328248 0.006155829702 0.250000000000 strong
0.755945732270 0.117639502380 0.003465771523 0.250000000000 strong
0.765763209313 0.078489363623 0.001541333133 0.250000000000 strong
0.775580686355 0.039263600340 0.000385481880 0.250000000000 strong
0.785398163397 0.000000000000 0.000000000000 0.250000000000 strong
