theta defect regime
0.000000000000 0.000000000000 weak
0.003272492347 0.013089595571 weak
0.006544984695 0.026176948308 weak
0.009817477042 0.039259815759 weak
0.013089969390 0.052335956243 weak
0.016362461737 0.065403129230 weak
0.019634954085 0.078459095728 weak
0.022907446432 0.091501618663 weak
0.026179938780 0.104528463268 weak
0.029452431127 0.117537397458 weak
0.032724923475 0.130526192220 weak
0.035997415822 0.143492621991 weak
0.039269908170 0.156434465040 weak
0.042542400517 0.169349503849 weak
0.045814892865 0.182235525492 weak
0.049087385212 0.195090322016 weak
0.052359877560 0.207911690818 weak
0.055632369907 0.220697435022 weak
0.058904862255 0.233445363856 weak
0.062177354602 0.246153293029 weak
0.065449846950 0.258819045103 weak
0.068722339297 0.271440449865 weak
0.071994831645 0.284015344704 weak
0.075267323992 0.296541574976 weak
0.078539816340 0.309016994375 weak
0.081812308687 0.321439465303 weak
0.085084801035 0.333806859234 weak
0.088357293382 0.346117057077 weak
0.091629785730 0.358367949545 weak
0.094902278077 0.370557437510 weak
0.098174770425 0.382683432365 weak
0.101447262772 0.394743856384 weak
0.104719755120 0.406736643076 weak
0.107992247467 0.418659737537 weak
0.111264739815 0.430511096808 weak
0.114537232162 0.442288690219 weak
0.117809724510 0.453990499740 weak
0.121082216857 0.465614520325 weak
0.124354709205 0.477158760260 weak
0.127627201552 0.488621241497 weak
0.130899693900 0.500000000000 weak
0.134172186247 0.511293086077 weak
0.137444678595 0.522498564716 weak
0.140717170942 0.533614515916 weak
0.143989663290 0.544639035015 weak
0.147262155637 0.555570233020 weak
0.150534647985 0.566406236925 weak
0.153807140332 0.577145190037 weak
0.157079632679 0.587785252292 weak
0.160352125027 0.598324600571 weak
0.163624617374 0.608761429009 weak
0.166897109722 0.619093949310 weak
0.170169602069 0.629320391050 weak
0.173442094417 0.639439001981 weak
0.176714586764 0.649448048330 weak
0.179987079112 0.659345815100 weak
0.183259571459 0.669130606359 weak
0.186532063807 0.678800745533 weak
0.189804556154 0.688354575694 weak
0.193077048502 0.697790459842 weak
0.196349540849 0.707106781187 weak
0.199622033197 0.716301943425 weak
0.202894525544 0.725374371012 weak
0.206167017892 0.734322509436 weak
0.209439510239 0.743144825477 weak
0.212712002587 0.751839807479 weak
0.215984494934 0.760405965600 weak
0.219256987282 0.768841832073 weak
0.222529479629 0.777145961457 weak
0.225801971977 0.785316930881 weak
0.229074464324 0.793353340291 weak
0.232346956672 0.801253812691 weak
0.235619449019 0.809016994375 weak
0.238891941367 0.816641555162 weak
0.242164433714 0.824126188622 weak
0.245436926062 0.831469612303 weak
0.248709418409 0.838670567945 weak
0.251981910757 0.845727821704 weak
0.255254403104 0.852640164354 weak
0.258526895452 0.859406703472 middle
0.261799387799 0.866081100894 middle
0.265071880147 0.872704299692 middle
0.268344372494 0.879277094827 middle
0.271616864842 0.885800262404 middle
0.274889357189 0.892274560301 middle
0.278161849537 0.898700728775 middle
0.281434341884 0.905079491036 middle
0.284706834232 0.911411553803 middle
0.287979326579 0.917697607833 middle
0.291251818927 0.923938328420 middle
0.294524311274 0.930134375890 middle
0.297796803622 0.936286396058 middle
0.301069295969 0.942395020678 middle
0.304341788317 0.948460867869 middle
0.307614280664 0.954484542525 middle
0.310886773011 0.960466636712 middle
0.314159265359 0.966407730044 middle
0.317431757706 0.972308390047 middle
0.320704250054 0.978169172511 middle
0.323976742401 0.983990621824 middle
0.327249234749 0.989773271297 middle
0.330521727096 0.995517643478 middle
0.333794219444 1.001224250446 middle
0.337066711791 1.006893594107 middle
0.340339204139 1.012526166468 middle
0.343611696486 1.018122449906 middle
0.346884188834 1.023682917431 middle
0.350156681181 1.029208032930 middle
0.353429173529 1.034698251410 middle
0.356701665876 1.040154019232 middle
0.359974158224 1.045575774334 middle
0.363246650571 1.050963946449 middle
0.366519142919 1.056318957314 middle
0.369791635266 1.061641220872 middle
0.373064127614 1.066931143465 middle
0.376336619961 1.072189124032 middle
0.379609112309 1.077415554280 middle
0.382881604656 1.082610818871 middle
0.386154097004 1.087775295588 middle
0.389426589351 1.092909355503 middle
0.392699081699 1.098013363135 middle
0.395971574046 1.103087676608 middle
0.399244066394 1.108132647803 middle
0.402516558741 1.113148622497 middle
0.405789051089 1.118135940514 middle
0.409061543436 1.123094935855 middle
0.412334035784 1.128025936832 middle
0.415606528131 1.132929266200 middle
0.418879020479 1.137805241279 middle
0.422151512826 1.142654174078 middle
0.425424005174 1.147476371409 middle
0.428696497521 1.152272135004 middle
0.431968989869 1.157041761627 middle
0.435241482216 1.161785543177 middle
0.438513974564 1.166503766800 middle
0.441786466911 1.171196714982 middle
0.445058959259 1.175864665656 middle
0.448331451606 1.180507892292 middle
0.451603943954 1.185126663993 middle
0.454876436301 1.189721245585 middle
0.458148928649 1.194291897706 middle
0.461421420996 1.198838876891 middle
0.464693913343 1.203362435655 middle
0.467966405691 1.207862822576 middle
0.471238898038 1.212340282372 middle
0.474511390386 1.216795055978 middle
0.477783882733 1.221227380623 middle
0.481056375081 1.225637489900 middle
0.484328867428 1.230025613839 middle
0.487601359776 1.234391978974 middle
0.490873852123 1.238736808412 middle
0.494146344471 1.243060321899 middle
0.497418836818 1.247362735881 middle
0.500691329166 1.251644263569 middle
0.503963821513 1.255905114999 middle
0.507236313861 1.260145497089 middle
0.510508806208 1.264365613699 middle
0.513781298556 1.268565665687 middle
0.517053790903 1.272745850962 middle
0.520326283251 1.276906364538 middle
0.523598775598 1.281047398587 middle
0.526871267946 1.285169142489 middle
0.530143760293 1.289271782880 middle
0.533416252641 1.293355503705 middle
0.536688744988 1.297420486259 middle
0.539961237336 1.301466909238 middle
0.543233729683 1.305494948780 middle
0.546506222031 1.309504778511 middle
0.549778714378 1.313496569588 middle
0.553051206726 1.317470490741 middle
0.556323699073 1.321426708310 middle
0.559596191421 1.325365386289 middle
0.562868683768 1.329286686365 middle
0.566141176116 1.333190767950 middle
0.569413668463 1.337077788227 middle
0.572686160811 1.340947902179 middle
0.575958653158 1.344801262627 middle
0.579231145506 1.348638020265 middle
0.582503637853 1.352458323693 middle
0.585776130201 1.356262319448 middle
0.589048622548 1.360050152042 middle
0.592321114896 1.363821963986 middle
0.595593607243 1.367577895828 middle
0.598866099591 1.371318086175 middle
0.602138591938 1.375042671730 middle
0.605411084286 1.378751787317 middle
0.608683576633 1.382445565910 middle
0.611956068981 1.386124138657 middle
0.615228561328 1.389787634914 middle
0.618501053675 1.393436182264 middle
0.621773546023 1.397069906546 middle
0.625046038370 1.400688931881 middle
0.628318530718 1.404293380692 middle
0.631591023065 1.407883373736 middle
0.634863515413 1.411459030117 middle
0.638136007760 1.415020467317 middle
0.641408500108 1.418567801217 middle
0.644680992455 1.422101146115 middle
0.647953484803 1.425615277542 strong
0.651225977150 1.429062786046 strong
0.654498469498 1.432432177235 strong
0.657770961845 1.435723094128 strong
0.661043454193 1.438935187872 strong
0.664315946540 1.442068117793 strong
0.667588438888 1.445121551445 strong
0.670860931235 1.448095164661 strong
0.674133423583 1.450988641596 strong
0.677405915930 1.453801674777 strong
0.680678408278 1.456533965144 strong
0.683950900625 1.459185222096 strong
0.687223392973 1.461755163531 strong
0.690495885320 1.464243515888 strong
0.693768377668 1.466650014188 strong
0.697040870015 1.468974402071 strong
0.700313362363 1.471216431831 strong
0.703585854710 1.473375864459 strong
0.706858347058 1.475452469669 strong
0.710130839405 1.477446025938 strong
0.713403331753 1.479356320537 strong
0.716675824100 1.481183149557 strong
0.719948316448 1.482926317946 strong
0.723220808795 1.484585639533 strong
0.726493301143 1.486160937054 strong
0.729765793490 1.487652042184 strong
0.733038285838 1.489058795552 strong
0.736310778185 1.490381046773 strong
0.739583270533 1.491618654466 strong
0.742855762880 1.492771486273 strong
0.746128255228 1.493839418882 strong
0.749400747575 1.494822338042 strong
0.752673239923 1.495720138582 strong
0.755945732270 1.496532724423 strong
0.759218224618 1.497260008597 strong
0.762490716965 1.497901913253 strong
0.765763209313 1.498458369674 strong
0.769035701660 1.498929318286 strong
0.772308194007 1.499314708664 strong
0.775580686355 1.499614499542 strong
0.778853178702 1.499828658818 strong
0.782125671050 1.499957163558 strong
0.785398163397 1.500000000000 strong
